title;description;buttonText;link;image;status
Mission Fun;Transformez votre routine en jeu avec des défis amusants à relever au bureau. Qui a dit que le travail ne pouvait pas être fun ?;Relever un challenge;https://www.bistrocorpo.fr/MissionFun.html;assets/images/MissionFun.svg;card
Réunions Surréalistes;Proposez des réunions avec des thèmes drôles et absurdes.;Planifier une réunion;https://www.bistrocorpo.fr/R%C3%A9unionsSurr%C3%A9alistes.html;assets/images/RéunionsSurréalistes.svg;card
Urgence Étrange;Générer des tâches urgentes improbables pour pimenter votre To-Do List.;Ajouter une nouvelle tâche;https://www.bistrocorpo.fr/UrgenceEtrange.html;assets/images/UrgenceEtrange.svg;card
Distinctions Absurdes;Découvrez des prix originaux et fictifs à décerner à vos collègues. Faites de la concurrence aux Dundies !;Remettre un Award;https://www.bistrocorpo.fr/DistinctionsAbsurdes.html;assets/images/DisctinctionsAbsurdes.svg;card
Échappatoire;Ne laissez pas une réunion vous bloquer ! Obtenez des excuses crédibles et pratiques pour vous absenter sans éveiller de soupçons.;Refuser une réunion;https://www.bistrocorpo.fr/Echappatoire.html;assets/images/BistroCorpo_black_margin.svg;card
Justification Créative;Évitez les tensions avec des excuses originales pour justifier vos retards.;Trouver une excuse;https://www.bistrocorpo.fr/JustificationCr%C3%A9ative.html;assets/images/BistroCorpo_black_margin.svg;card
Validation Infinie;Simulez un cycle de validation sans fin pour explorer les complexités des processus en entreprise.;Faire valider mon livrable;;assets/images/BistroCorpo_black_margin.svg;card inactive
Modèle d'Absentéisme;Créez des emails d'absence originaux qui ne laissent aucune place au doute.;Rédiger mon mail d'absence;;assets/images/TemplateAbsence.svg;card inactive
Flatterie Surprenante;Faites briller vos collègues avec des compliments exagérés et absurdes.;Faire un compliment;;assets/images/BistroCorpo_black_margin.svg;card inactive
Projet Grandiose;Trouvez des noms de projets à la hauteur de vos ambitions avec des titres mémorables.;Lancer mon projet;;assets/images/BistroCorpo_black_margin.svg;card inactive
Encore plus de choses à découvrir !;Il existe de nombreuses ressources amusantes pour rendre votre travail encore plus agréable.;Explorer la liste complète;https://www.bistrocorpo.fr/;assets/images/BistroCorpo_black_margin.svg;card
